#format table ## [Custom WaveView] saved 15:31:06 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 2.542E-08 , 1.798E+00 ,-7.471E-03 , 1.801E+00 , 1.599E-03 , 1.379E-03 
 2.544E-08 , 1.798E+00 ,-6.422E-03 , 1.800E+00 , 7.178E-04 , 7.677E-03 
 2.546E-08 , 1.798E+00 ,-5.611E-03 , 1.800E+00 ,-3.976E-04 , 1.620E-02 
 2.547E-08 , 1.799E+00 ,-4.818E-03 , 1.800E+00 ,-9.816E-04 , 2.581E-02 
 2.549E-08 , 1.799E+00 ,-3.672E-03 , 1.800E+00 ,-1.027E-03 , 4.104E-02 
 2.550E-08 , 1.799E+00 ,-2.630E-03 , 1.800E+00 ,-7.246E-04 , 5.790E-02 
 2.552E-08 , 1.799E+00 ,-1.759E-03 , 1.800E+00 ,-4.273E-04 , 7.744E-02 
 2.555E-08 , 1.800E+00 ,-1.016E-03 , 1.800E+00 ,-2.067E-04 , 1.047E-01 
 2.558E-08 , 1.800E+00 ,-5.037E-04 , 1.800E+00 ,-8.443E-05 , 1.435E-01 
 2.562E-08 , 1.800E+00 ,-2.772E-04 , 1.800E+00 ,-3.744E-05 , 1.864E-01 
 2.566E-08 , 1.800E+00 ,-1.792E-04 , 1.800E+00 ,-1.670E-05 , 2.365E-01 
 2.572E-08 , 1.800E+00 ,-1.321E-04 , 1.800E+00 ,-8.106E-06 , 3.014E-01 
 2.581E-08 , 1.800E+00 ,-1.003E-04 , 1.800E+00 ,-6.230E-06 , 4.005E-01 
 2.593E-08 , 1.800E+00 ,-7.256E-05 , 1.800E+00 ,-5.571E-06 , 5.392E-01 
 2.616E-08 , 1.800E+00 ,-4.429E-05 , 1.800E+00 ,-4.313E-06 , 8.000E-01 
 2.641E-08 , 1.800E+00 ,-2.818E-05 , 1.800E+00 , 1.535E-07 , 1.070E+00 
