#format table ## [Custom WaveView] saved 15:29:31 Mon Apr 29 2024
XVAL ,v(/A) ,v(/B) ,v(/C) ,v(/D) ,v(/out) 
 2.054E-08 , 1.842E-03 , 5.858E-03 , 1.800E+00 ,-3.141E-04 , 4.416E-02 
 2.057E-08 , 1.560E-03 , 4.606E-03 , 1.800E+00 ,-2.879E-04 , 4.087E-02 
 2.061E-08 , 1.123E-03 , 3.135E-03 , 1.800E+00 ,-2.580E-04 , 3.609E-02 
 2.066E-08 , 6.500E-04 , 1.758E-03 , 1.800E+00 ,-2.041E-04 , 2.980E-02 
 2.072E-08 , 3.233E-04 , 8.653E-04 , 1.800E+00 ,-1.533E-04 , 2.352E-02 
 2.078E-08 , 1.488E-04 , 3.941E-04 , 1.800E+00 ,-1.187E-04 , 1.797E-02 
 2.085E-08 , 5.992E-05 , 1.576E-04 , 1.800E+00 ,-9.469E-05 , 1.306E-02 
 2.093E-08 , 2.069E-05 , 5.447E-05 , 1.800E+00 ,-7.535E-05 , 8.770E-03 
 2.105E-08 , 7.579E-06 , 1.991E-05 , 1.800E+00 ,-5.710E-05 , 4.982E-03 
 2.121E-08 , 4.687E-06 , 1.223E-05 , 1.800E+00 ,-4.260E-05 , 2.475E-03 
 2.146E-08 , 2.609E-06 , 6.797E-06 , 1.800E+00 ,-3.011E-05 , 1.001E-03 
 2.183E-08 , 6.310E-07 , 1.661E-06 , 1.800E+00 ,-2.032E-05 , 4.924E-04 
 2.233E-08 , 3.873E-07 , 4.312E-08 , 1.800E+00 ,-1.381E-05 , 3.695E-04 
 2.303E-08 , 5.253E-08 , 4.680E-08 , 1.800E+00 ,-9.434E-06 , 2.358E-04 
 2.411E-08 , 3.726E-08 , 5.252E-08 , 1.800E+00 ,-6.212E-06 , 1.094E-04 
 2.520E-08 , 2.181E-08 , 5.831E-08 , 1.800E+00 ,-4.691E-06 , 7.477E-05 
 2.521E-08 , 6.330E-02 , 1.107E-03 , 1.800E+00 ,-2.909E-06 , 7.941E-05 
 2.521E-08 , 1.455E-01 , 1.903E-03 , 1.800E+00 ,-1.127E-06 , 8.582E-05 
 2.522E-08 , 2.445E-01 , 2.153E-03 , 1.800E+00 ,-6.668E-07 , 9.401E-05 
 2.523E-08 , 4.093E-01 , 1.896E-03 , 1.800E+00 ,-1.635E-06 , 1.080E-04 
 2.523E-08 , 5.666E-01 , 1.609E-03 , 1.800E+00 ,-2.560E-06 , 1.214E-04 
 2.525E-08 , 7.664E-01 , 8.339E-04 , 1.800E+00 ,-7.939E-06 , 1.250E-04 
 2.526E-08 , 1.049E+00 ,-2.215E-03 , 1.800E+00 ,-2.234E-05 , 6.772E-05 
 2.528E-08 , 1.337E+00 ,-8.171E-03 , 1.800E+00 ,-3.564E-05 ,-8.996E-05 
 2.529E-08 , 1.607E+00 ,-1.443E-02 , 1.800E+00 ,-4.265E-05 ,-3.387E-04 
 2.530E-08 , 1.756E+00 ,-1.759E-02 , 1.800E+00 ,-4.480E-05 ,-5.186E-04 
 2.530E-08 , 1.780E+00 ,-1.902E-02 , 1.800E+00 ,-4.402E-05 ,-6.000E-04 
 2.531E-08 , 1.792E+00 ,-2.015E-02 , 1.800E+00 ,-4.174E-05 ,-6.814E-04 
 2.531E-08 , 1.796E+00 ,-2.092E-02 , 1.800E+00 ,-3.703E-05 ,-7.826E-04 
 2.532E-08 , 1.796E+00 ,-2.105E-02 , 1.800E+00 ,-2.888E-05 ,-9.547E-04 
 2.532E-08 , 1.796E+00 ,-2.055E-02 , 1.800E+00 ,-2.141E-05 ,-1.109E-03 
 2.533E-08 , 1.796E+00 ,-1.939E-02 , 1.800E+00 ,-1.019E-05 ,-1.314E-03 
 2.535E-08 , 1.797E+00 ,-1.597E-02 , 1.800E+00 , 8.797E-05 ,-1.695E-03 
 2.536E-08 , 1.797E+00 ,-1.379E-02 , 1.800E+00 , 2.333E-04 ,-1.903E-03 
 2.537E-08 , 1.798E+00 ,-1.172E-02 , 1.800E+00 , 4.389E-04 ,-2.073E-03 
 2.539E-08 , 1.798E+00 ,-1.001E-02 , 1.800E+00 , 7.319E-04 ,-2.162E-03 
 2.540E-08 , 1.798E+00 ,-8.609E-03 , 1.800E+00 , 1.159E-03 ,-1.998E-03 
 2.541E-08 , 1.798E+00 ,-7.490E-03 , 1.800E+00 , 1.372E-03 ,-1.039E-03 
 2.542E-08 , 1.798E+00 ,-6.242E-03 , 1.800E+00 , 8.476E-04 , 2.844E-03 
 2.544E-08 , 1.799E+00 ,-5.231E-03 , 1.800E+00 ,-1.877E-04 , 9.925E-03 
 2.545E-08 , 1.799E+00 ,-4.297E-03 , 1.800E+00 ,-8.629E-04 , 1.970E-02 
 2.547E-08 , 1.799E+00 ,-3.255E-03 , 1.800E+00 ,-9.390E-04 , 3.391E-02 
 2.548E-08 , 1.799E+00 ,-2.356E-03 , 1.800E+00 ,-6.594E-04 , 4.998E-02 
 2.550E-08 , 1.799E+00 ,-1.616E-03 , 1.800E+00 ,-3.633E-04 , 6.885E-02 
 2.552E-08 , 1.800E+00 ,-1.024E-03 , 1.800E+00 ,-1.544E-04 , 9.362E-02 
 2.556E-08 , 1.800E+00 ,-5.919E-04 , 1.800E+00 ,-4.739E-05 , 1.302E-01 
 2.559E-08 , 1.800E+00 ,-3.864E-04 , 1.800E+00 ,-2.110E-05 , 1.705E-01 
 2.563E-08 , 1.800E+00 ,-2.742E-04 , 1.800E+00 ,-1.315E-05 , 2.184E-01 
 2.569E-08 , 1.800E+00 ,-1.959E-04 , 1.800E+00 ,-8.023E-06 , 2.845E-01 
 2.578E-08 , 1.800E+00 ,-1.343E-04 , 1.800E+00 ,-5.284E-06 , 3.822E-01 
 2.592E-08 , 1.800E+00 ,-8.278E-05 , 1.800E+00 ,-4.675E-06 , 5.490E-01 
 2.613E-08 , 1.800E+00 ,-5.073E-05 , 1.800E+00 ,-3.807E-06 , 7.838E-01 
 2.641E-08 , 1.800E+00 ,-3.088E-05 , 1.800E+00 ,-4.375E-07 , 1.078E+00 
 2.668E-08 , 1.800E+00 ,-2.100E-05 , 1.800E+00 , 2.837E-06 , 1.321E+00 
 2.694E-08 , 1.800E+00 ,-2.081E-05 , 1.800E+00 ,-8.969E-06 , 1.499E+00 
 2.720E-08 , 1.800E+00 ,-1.760E-05 , 1.800E+00 ,-1.004E-05 , 1.619E+00 
 2.753E-08 , 1.800E+00 ,-1.344E-05 , 1.800E+00 ,-5.982E-06 , 1.712E+00 
 2.795E-08 , 1.800E+00 ,-1.029E-05 , 1.800E+00 ,-3.688E-06 , 1.768E+00 
 2.835E-08 , 1.800E+00 ,-8.720E-06 , 1.800E+00 ,-3.141E-06 , 1.788E+00 
 2.879E-08 , 1.800E+00 ,-7.022E-06 , 1.800E+00 ,-2.549E-06 , 1.796E+00 
 2.933E-08 , 1.800E+00 ,-6.050E-06 , 1.800E+00 ,-2.375E-06 , 1.799E+00 
 3.006E-08 , 1.800E+00 ,-4.726E-06 , 1.800E+00 ,-2.139E-06 , 1.799E+00 
